nm   	OxyHGb	DeoxyHGb
650.00	0.50600	3.7430
657.00	0.45900	3.5460
663.00	0.43500	3.3260
670.00	0.42700	3.0430
677.00	0.42500	2.7130
684.00	0.42000	2.3920
691.00	0.41500	2.1080
698.00	0.41600	1.8870
705.00	0.42700	1.7200
711.00	0.44400	1.5790
718.00	0.46600	1.4500
725.00	0.49000	1.3430
732.00	0.51700	1.2860
738.00	0.54600	1.3070
745.00	0.57600	1.4120
752.00	0.60800	1.5740
758.00	0.64100	1.6780
765.00	0.67500	1.5900
772.00	0.71000	1.3650
778.00	0.74500	1.1490
785.00	0.78100	0.99900
792.00	0.81700	0.90800
798.00	0.85200	0.85200
805.00	0.88600	0.81600
811.00	0.92000	0.79600
818.00	0.95200	0.78500
824.00	0.98300	0.77900
831.00	1.0130	0.77800
837.00	1.0430	0.77700
844.00	1.0700	0.77800
850.00	1.0970	0.78100
857.00	1.1220	0.78800
863.00	1.1460	0.79700
869.00	1.1670	0.81000
876.00	1.1870	0.82400
882.00	1.2040	0.84100
888.00	1.2190	0.85800
895.00	1.2320	0.87300
901.00	1.2430	0.88500
907.00	1.2520	0.89200
913.00	1.2580	0.89200
920.00	1.2610	0.88300
926.00	1.2630	0.86500
932.00	1.2630	0.83600
938.00	1.2590	0.79900
944.00	1.2550	0.75500
950.00	1.2480	0.70200
956.00	1.2390	0.64500
962.00	1.2260	0.58700
968.00	1.2130	0.52900
975.00	1.1970	0.50100
981.00	1.1800	0.41900
986.00	1.1600	0.37000
992.00	1.1380	0.32500
998.00	1.1140	0.28500
1004.0	1.0890	0.25000
1010.0	1.0640	0.21900
1016.0	1.0330	0.19300
1022.0	1.0030	0.17100
1028.0	0.97200	0.15300
1034.0	0.94000	0.13800
1039.0	0.90500	0.12500
1042.0	0.88900	0.12000
